id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis
114,Nicole,Rodgers,CE,383455573,2018-01-21,2024-12-18,PREMIUM,539,Reedstad,Idaho,ACTIVO,APP
115,David,Schneider,CC,470756139,1988-02-04,2024-10-01,BASICO,834,Clarkside,Maine,INACTIVO,APP
116,Michael,Anderson,CE,538998857,1970-12-14,2024-11-18,ESTANDAR,617,Nancytown,California,ACTIVO,OFICINA
117,Sierra,Gray,CC,832446070,2003-12-26,2024-07-01,BASICO,350,East Tony,Kansas,ACTIVO,APP
118,Robin,Foster,CE,275809981,1997-05-24,2024-03-01,PREMIUM,769,Lake Robert,West Virginia,INACTIVO,APP
119,Lori,Zimmerman,CE,151552633,1987-10-19,2024-03-03,PREMIUM,342,Cameronchester,Alaska,INACTIVO,WEB
120,Matthew,Harris,CC,313294469,1977-01-18,2024-12-26,ESTANDAR,503,Lake Aaron,Kansas,INACTIVO,OFICINA
121,Kara,Lee,CE,326838160,1984-06-08,2024-08-02,ESTANDAR,646,North Dennisville,Arkansas,INACTIVO,WEB
122,Greg,Palmer,CC,630510898,2015-04-07,2024-12-25,ESTANDAR,357,Morrisonmouth,Arkansas,ACTIVO,APP
123,Joshua,Hill,CE,371039781,1993-10-21,2024-05-18,ELITE,358,Deborahfort,,INACTIVO,APP
124,Haley,Butler,CC,420443954,2017-03-28,2024-05-13,BASICO,810,Howardview,Kansas,INACTIVO,OFICINA
125,Haley,Scott,CC,466803209,1979-08-23,2024-02-03,BASICO,617,Davisland,North Dakota,ACTIVO,WEB
126,Deborah,Sexton,CE,841981303,1973-07-24,2024-07-11,BASICO,732,Weeksfurt,Kansas,INACTIVO,WEB
127,Samantha,Martin,CE,474808468,2003-06-22,2024-12-20,ELITE,671,East Jeffrey,Michigan,,WEB
128,Amanda,Hernandez,CC,177354231,2001-06-08,2024-11-15,BASICO,506,Sarahhaven,Alaska,ACTIVO,OFICINA
129,Jennifer,Frazier,CE,871375173,2002-12-24,2024-03-27,ESTANDAR,410,West Sherry,New Hampshire,INACTIVO,WEB
130,Aimee,Vasquez,CE,590426196,1982-01-03,2024-07-28,BASICO,322,Deborahtown,Arizona,INACTIVO,WEB
131,Travis,Alvarez,CE,234649912,2010-05-26,2024-03-21,ELITE,727,Lake Jamesburgh,Massachusetts,ACTIVO,APP
132,Joseph,Yates,CC,991529254,1977-09-25,2024-11-17,ELITE,310,North Aprilport,Montana,INACTIVO,APP
133,Lisa,Maxwell,CC,869441210,1986-05-01,2024-12-04,BASICO,814,Monicafurt,Vermont,INACTIVO,WEB
134,Monica,Brooks,CC,241734929,2017-07-23,2024-07-08,ELITE,443,South Dawnville,Nevada,ACTIVO,
135,Allen,Smith,CC,421675191,1980-04-25,2024-12-13,ELITE,820,West Anthonystad,Connecticut,ACTIVO,APP
136,Sonia,Foster,CC,100658139,2007-03-04,2024-08-20,BASICO,593,Brandiberg,Arkansas,INACTIVO,OFICINA
137,Mindy,Lawrence,CC,555955256,2003-08-04,2024-06-17,ELITE,624,Matthewbury,,INACTIVO,APP
138,Colleen,Baker,CC,988275699,1991-09-13,2024-09-07,ELITE,492,Bentonport,Kansas,INACTIVO,WEB
139,Nathaniel,Holmes,CC,475691615,1978-07-05,2024-06-16,BASICO,590,South Lucasview,California,INACTIVO,OFICINA
140,Victoria,Stephenson,CC,510888139,1993-11-18,2024-08-18,ESTANDAR,718,North Tinamouth,Tennessee,ACTIVO,WEB
141,Lori,Scott,CE,590644777,2017-05-21,2024-05-29,ESTANDAR,759,Martinhaven,West Virginia,ACTIVO,WEB
142,Paul,Morgan,,937339418,1991-08-02,2024-05-31,ELITE,347,West Kevinchester,Tennessee,ACTIVO,WEB
143,Jessica,Buckley,CE,122992457,2006-11-01,2024-02-07,PREMIUM,406,Andrewton,Montana,INACTIVO,OFICINA
144,Deborah,Martin,CE,121094509,2017-01-31,2024-10-23,PREMIUM,563,Kleintown,South Carolina,ACTIVO,WEB
145,Tiffany,Kline,CE,434906360,1990-11-10,2024-10-01,BASICO,552,Johnsonburgh,Wisconsin,INACTIVO,OFICINA
146,Bryan,Sanchez,CC,180518323,1972-02-22,2024-04-14,BASICO,838,Russellstad,Illinois,INACTIVO,APP
147,Julia,Davis,CC,649730217,2010-02-02,2024-12-13,ESTANDAR,820,East Marissa,Missouri,ACTIVO,OFICINA
148,,Sweeney,CC,366058271,1991-04-30,2024-12-17,PREMIUM,457,Jasonport,West Virginia,ACTIVO,WEB
149,Kevin,Carter,CC,429887513,2008-05-03,2024-03-02,BASICO,825,North Shawn,Colorado,ACTIVO,WEB
150,Allen,Parks,CE,612004938,2002-10-21,2024-01-16,PREMIUM,328,South Travisside,,INACTIVO,APP
151,,Bolton,CC,280112150,1983-09-17,2024-12-15,PREMIUM,837,East Donnaton,Pennsylvania,ACTIVO,APP
152,Donna,Hayes,CC,256599009,1990-09-28,2024-05-29,ELITE,442,Moraleshaven,Alaska,INACTIVO,APP
153,Joy,Wade,CC,754153784,2014-04-24,2024-05-21,ELITE,517,Carterland,Ohio,ACTIVO,OFICINA
154,Shannon,Ferguson,CC,326533555,2000-12-03,2024-04-25,PREMIUM,366,New Annchester,Rhode Island,INACTIVO,OFICINA
155,Patrick,Gardner,CC,851419623,1985-06-08,2024-11-07,ESTANDAR,443,Lake Shanechester,Mississippi,ACTIVO,OFICINA
156,Matthew,Patrick,CE,461482109,2004-12-18,2024-03-05,BASICO,440,Johnfurt,Arkansas,,OFICINA
157,Destiny,Cuevas,,670728790,2009-10-25,2024-11-05,BASICO,645,,Louisiana,INACTIVO,APP
158,Brian,Jennings,,606687964,1999-11-13,2024-07-12,ESTANDAR,764,Weissberg,Kansas,ACTIVO,WEB
159,Kimberly,Woods,CC,293923647,2016-06-10,2024-12-07,ELITE,395,Williamsburgh,Alaska,INACTIVO,WEB
160,Michelle,Fleming,CE,304087750,2004-10-08,2024-06-09,ELITE,707,Davidberg,North Dakota,ACTIVO,OFICINA
161,Theresa,Nichols,CC,907023847,1975-02-09,2024-11-01,ESTANDAR,417,Thompsonhaven,Utah,INACTIVO,APP
162,Lacey,Chapman,CC,932270624,1973-10-08,2024-12-26,ESTANDAR,743,Lake Oliviaside,Hawaii,ACTIVO,APP
163,Kristen,Allen,CE,503698900,2009-01-11,2024-10-04,ELITE,679,Port Ricardo,Connecticut,ACTIVO,APP
164,Erica,Chambers,CE,103823873,2007-05-14,2024-10-22,PREMIUM,577,Mccannberg,,INACTIVO,WEB
165,Keith,George,CE,153293585,1984-10-22,2024-02-08,ELITE,660,Rodriguezshire,,ACTIVO,WEB
166,Ryan,Reed,CC,531913646,1992-05-08,2024-12-26,PREMIUM,669,South Brianfort,Virginia,INACTIVO,OFICINA
167,Jeffery,Roberts,CE,837500064,1987-03-16,2024-06-17,BASICO,511,South Amy,New Hampshire,INACTIVO,WEB
168,Matthew,Hughes,CC,715303396,1975-05-31,2024-03-08,BASICO,558,West Annefurt,Nebraska,ACTIVO,APP
169,Marie,Cline,CC,271465953,1987-08-23,2024-01-07,PREMIUM,396,Brayside,Idaho,ACTIVO,WEB
170,Dennis,Nguyen,CE,601277267,2006-06-25,2024-03-25,PREMIUM,509,New Blakemouth,New Mexico,INACTIVO,WEB
171,Gina,Hernandez,CE,955035682,1990-10-18,2024-07-17,ELITE,847,,Iowa,INACTIVO,WEB
172,Kimberly,Conley,CC,575877810,1983-06-22,2024-05-11,ESTANDAR,320,Loganchester,North Carolina,INACTIVO,OFICINA
173,Jason,,CC,433345649,2017-07-28,2024-03-16,PREMIUM,732,Jeremystad,Illinois,INACTIVO,WEB
174,Jonathan,Werner,CE,513162492,1984-04-25,2024-09-06,BASICO,670,Morenomouth,Oregon,INACTIVO,OFICINA
175,William,Davis,CE,404543477,2002-03-02,2024-12-12,ELITE,692,Bakerborough,Wisconsin,ACTIVO,WEB
176,Gina,Johnson,CE,760509073,2013-01-10,2024-07-27,BASICO,518,Dennismouth,Florida,ACTIVO,OFICINA
177,Mark,Garcia,CC,454019949,2009-08-28,2024-03-24,ELITE,803,South Nancy,New York,INACTIVO,APP
178,Amy,,,530350077,1987-08-30,2024-08-10,ESTANDAR,395,Port Derektown,,INACTIVO,APP
179,Robert,Wilson,CC,381462871,2017-10-28,2024-09-09,ESTANDAR,731,Lake James,Indiana,INACTIVO,APP
180,Mark,Osborne,CC,603454279,1970-01-21,2024-01-31,BASICO,487,East Anthony,Texas,ACTIVO,OFICINA
181,Michael,Gomez,CC,557944956,2010-04-18,2024-12-20,PREMIUM,800,Anitaville,Delaware,ACTIVO,APP
182,Eric,Wright,CC,678995741,2009-12-02,2024-07-19,PREMIUM,674,Lake Vickifort,Arkansas,ACTIVO,OFICINA
183,Christopher,Lewis,CE,601644971,1997-09-13,2024-02-21,BASICO,733,Petersborough,Pennsylvania,,OFICINA
184,Joseph,Flores,CC,527326345,1996-06-17,2024-03-12,PREMIUM,722,Baileyview,Maine,ACTIVO,OFICINA
185,,Harmon,CC,762462806,1973-01-04,2024-01-21,,443,Hernandezville,Massachusetts,ACTIVO,
186,Derek,Meza,CC,171279027,1977-03-22,2024-01-16,BASICO,839,New Gregg,Massachusetts,ACTIVO,OFICINA
187,Ashley,Warner,CE,609198529,1993-06-30,2024-01-16,BASICO,798,New Debbie,,ACTIVO,WEB
188,Samantha,Vasquez,CC,377626073,1991-03-16,2024-06-23,ESTANDAR,305,Westburgh,Arizona,INACTIVO,APP
189,Amy,York,CC,594226595,1990-06-02,2024-11-07,BASICO,616,West Sarah,Virginia,INACTIVO,WEB
190,Theodore,Powell,CE,171414944,1999-08-04,2024-12-03,ESTANDAR,529,Jonesfort,Virginia,ACTIVO,APP
191,Karen,Baldwin,CC,532898990,2018-07-26,2024-03-18,ESTANDAR,421,Lake Stacyborough,,ACTIVO,OFICINA
192,Julie,,CC,248607500,1987-07-13,2024-08-27,ELITE,794,South Johnathanview,Arizona,INACTIVO,OFICINA
193,Richard,Harrison,CC,962711591,1982-05-19,2024-02-06,PREMIUM,774,North Rhonda,Maine,INACTIVO,OFICINA
194,Jesse,Chung,CC,173913944,2014-11-15,2024-08-19,BASICO,807,Port Ebony,Connecticut,ACTIVO,APP
195,Kevin,Ayala,,251207747,1992-12-13,2024-07-31,PREMIUM,474,Port Raymondland,Kansas,ACTIVO,APP
196,Dominique,Padilla,CE,521686313,2004-10-01,2024-07-11,ELITE,820,Pruittside,New Jersey,ACTIVO,OFICINA
197,William,Blackburn,CE,661654674,1981-12-02,2024-02-29,BASICO,570,West Marychester,Texas,INACTIVO,
198,,Cole,CE,895318481,2011-04-01,2024-07-07,BASICO,485,North Kimberlyfort,Alabama,ACTIVO,WEB
199,Vanessa,Cordova,CC,983258084,2009-06-30,2024-09-23,ELITE,393,Byrdfurt,Pennsylvania,INACTIVO,OFICINA
200,Adrienne,Sanchez,CC,271987805,2005-11-24,2024-05-05,PREMIUM,813,Arroyoland,South Dakota,ACTIVO,WEB
201,Tammy,Anderson,CC,965280953,1991-12-28,2024-07-21,ESTANDAR,477,Karenview,Missouri,ACTIVO,WEB
202,Paul,Dawson,CE,133400086,2012-06-19,2024-11-17,ELITE,594,Rogersmouth,Missouri,INACTIVO,APP
203,David,Hill,CC,165320186,1983-12-02,2024-02-01,ELITE,530,South Timothyport,Massachusetts,ACTIVO,WEB
204,Nicholas,Patton,CC,237088309,1994-02-20,2024-11-07,BASICO,535,Lake James,Ohio,ACTIVO,OFICINA
205,Deborah,Thomas,CE,829110223,2003-09-22,2024-09-17,ESTANDAR,392,New Jeffreybury,Florida,ACTIVO,WEB
206,Faith,Rodriguez,CC,392227904,1975-12-16,2024-12-11,ELITE,786,Port Marcus,Florida,ACTIVO,
207,Amanda,Sullivan,CE,510773643,2001-01-19,2024-04-03,PREMIUM,343,New Amberport,Mississippi,ACTIVO,APP
208,Alexandra,,CE,850080791,2018-02-17,2024-11-23,,838,Kellerfort,Tennessee,INACTIVO,OFICINA
209,Anthony,Grant,CE,826434337,1975-09-01,2024-04-09,PREMIUM,774,Port Michellebury,Michigan,ACTIVO,OFICINA
210,Joseph,Bennett,CC,341481524,1979-03-13,2024-10-11,BASICO,338,Rodriguezberg,Alabama,INACTIVO,OFICINA
211,Paul,Lewis,CC,586618104,1994-02-12,2024-11-10,ELITE,684,West Mercedes,Texas,INACTIVO,OFICINA
212,Regina,Sherman,CC,838358801,1981-08-15,2024-01-25,PREMIUM,734,Darleneberg,Idaho,INACTIVO,OFICINA
213,Christian,Martin,CC,799224120,1974-12-17,2024-12-18,BASICO,588,East Kellyshire,New Jersey,INACTIVO,WEB
214,Jessica,Jones,,303257967,2015-04-30,2024-12-22,BASICO,547,West Andrew,California,ACTIVO,
215,Evelyn,,CC,574005508,2016-07-27,2024-04-26,,658,North Joelbury,Idaho,INACTIVO,APP
216,Wanda,Owens,CC,806948505,1986-03-04,2024-07-17,,737,Marshallfurt,Mississippi,INACTIVO,WEB
217,Bradley,Jones,CE,299316893,1991-11-10,2024-10-05,BASICO,508,West Jamesberg,Texas,INACTIVO,OFICINA
218,Adriana,Gonzalez,CC,374361525,1981-02-15,2024-03-10,BASICO,423,South Devinville,Alaska,INACTIVO,OFICINA
219,Mary,Ritter,CE,389432914,1998-08-08,2024-11-30,PREMIUM,702,Campbellmouth,Maryland,INACTIVO,APP
220,Shannon,Blevins,CC,500615196,1993-09-01,2024-03-19,BASICO,583,West Jim,Pennsylvania,INACTIVO,OFICINA
221,Anthony,Sutton,CC,538294617,1996-04-24,2024-12-19,ELITE,540,Port David,Oklahoma,INACTIVO,APP
